Depth,Porosity,Prediction
-0.03329294526136083,[0.088358],0.04687256831871233
-0.03306775340382425,[0.114627],-0.00473509165298297
-0.03284108002090934,[0.114627],0.002656357807439169
-0.032615888163372755,[0.114627],0.00047321512560415113
-0.032389214780457844,[0.114715],-0.06316926043547702
-0.03216402292292126,[0.108108],-0.10396321223285708
-0.03193883106538468,[0.104505],-0.0999333151693343
-0.0317121576824696,[0.108108],-0.10950128195076235
-0.03148696582493318,[0.108108],-0.03757791846602063
-0.031260292442018105,[0.103303],-0.0035398832857965745
-0.031035100584481518,[0.10991],-0.005014713822493022
-0.030809908726945105,[0.124925],0.03383456715217073
-0.030583235344030024,[0.120721],0.12743362051876062
-0.03035804348649344,[0.103904],0.1593816519350614
-0.030131370103578362,[0.070871],0.21321721454986253
-0.029906178246041946,[0.016817],0.3170501254354912
-0.029680986388505363,[0.014535],0.3655937667813752
-0.029002447765138786,[0.040116],0.288969327174019
-0.028777255907602203,[0.109302],0.08705571449292507
-0.028552064050065787,[0.140698],0.03296936313375049
-0.02832539066715071,[0.144767],0.04666134602527815
-0.028100198809614126,[0.147093],0.07161497586438953
-0.027873525426699044,[0.137209],0.11954270260867081
-0.02764833356916263,[0.144186],0.10495283749678311
-0.027423141711626044,[0.150581],0.09414093288309971
-0.027196468328710966,[0.144186],0.10811525680127201
-0.026971276471174383,[0.144767],0.111212252551329
-0.02674460308825947,[0.130814],0.15635124462423702
-0.02651941123072289,[0.091291],0.21133006050656916
-0.026294219373186472,[0.097898],0.2178449026410158
-0.026067545990271394,[0.108108],0.1686352378036072
-0.025842354132734807,[0.112913],0.11718798850960149
-0.02561568074981973,[0.103904],0.11069825121721123
-0.025390488892283312,[0.102102],0.10042971742603295
-0.02516529703474673,[0.105105],0.07579646683840936
-0.02493862365183165,[0.106306],0.05847766651711955
-0.024713431794295235,[0.10991],0.057549738156761114
-0.024486758411380156,[0.122523],0.0314746641430671
-0.02426156655384374,[0.148348],-0.10138963895949618
-0.024036374696307154,[0.175375],-0.2213097063679553
-0.023809701313392075,[0.171772],-0.2146468956299625
-0.023584509455855492,[0.15976],-0.1641959453404753
-0.02335783607294058,[0.164565],-0.16152440884297725
-0.023132644215403998,[0.163363],-0.1623116807977973
-0.02290745235786741,[0.157357],-0.16029374591793974
-0.022680778974952333,[0.154955],-0.1670650217172462
-0.022455587117415916,[0.15015],-0.162276931237185
-0.022228913734500838,[0.106907],-0.05089603000227484
-0.022003721876964255,[0.091291],-0.004685295678116513
-0.021778530019427672,[0.124925],-0.08454812840439024
-0.02155185663651276,[0.147147],-0.13820830949249635
-0.021326664778976174,[0.152553],-0.15283045498542464
-0.021099991396061266,[0.146547],-0.13033831031656823
