Depth (m),GR,RHOB,NPHI,RESD,DT,DTs,Porosity
624.535,38.563,2.485,0.062,9.68,64.172,112.554,0.108108108108108
624.688,37.966,2.493,0.06,9.744,58.673,102.641,0.103303303303303
624.84,37.696,2.482,0.059,10.796,59.812,104.512,0.10990990990991
624.992,37.4,2.457,0.058,14.675,57.983,101.186,0.124924924924925
625.145,36.744,2.464,0.058,18.261,55.43,96.456,0.120720720720721
625.297,34.4,2.492,0.057,17.63,55.943,96.372,0.103903903903904
625.45,31.687,2.547,0.055,16.332,62.623,106.641,0.0708708708708708
625.602,30.038,2.637,0.056,15.087,68.132,115.218,0.0168168168168168
625.754,30.352,2.695,0.058,13.219,69.895,118.354,0.0145348837209304
626.212,30.805,2.651,0.062,13.139,70.308,119.281,0.0401162790697674
626.364,29.543,2.532,0.066,14.572,76.598,129.264,0.109302325581395
626.516,28.825,2.478,0.072,15.176,76.069,127.986,0.140697674418604
626.669,30.027,2.471,0.075,16.415,75.611,127.859,0.144767441860465
626.821,32.016,2.467,0.072,16.839,71.205,121.424,0.147093023255814
626.974,33.514,2.484,0.068,16.583,64.393,110.509,0.137209302325581
627.126,33.251,2.472,0.063,16.627,63.029,108.046,0.144186046511628
627.278,32.073,2.461,0.062,16.73,63.291,107.954,0.150581395348837
627.431,32.169,2.472,0.061,16.561,62.507,106.66,0.144186046511628
627.583,33.04,2.471,0.063,16.814,62.248,106.611,0.144767441860465
627.736,34.388,2.495,0.065,17.38,62.364,107.427,0.130813953488372
627.888,34.497,2.513,0.065,18.509,61.987,106.827,0.0912912912912914
628.04,33.604,2.502,0.064,19.368,62.246,106.865,0.097897897897898
628.193,33.841,2.485,0.061,18.653,63.146,108.52,0.108108108108108
628.345,34.574,2.477,0.06,17.214,63.669,109.762,0.112912912912913
628.498,34.954,2.492,0.062,15.953,63.93,110.392,0.103903903903904
628.65,34.182,2.495,0.065,15.136,64.681,111.319,0.102102102102102
628.802,33.892,2.49,0.066,14.577,66.329,114.015,0.105105105105105
628.955,34.468,2.488,0.065,14.288,67.235,115.858,0.106306306306306
629.107,33.92,2.482,0.065,14.2,65.949,113.376,0.10990990990991
629.26,32.146,2.461,0.066,13.612,64.041,109.268,0.122522522522523
629.412,31.748,2.418,0.07,9.292,63.668,108.447,0.148348348348348
629.564,32.748,2.373,0.077,5.606,64.422,110.198,0.175375375375375
629.717,33.523,2.379,0.086,5.114,64.538,110.762,0.171771771771772
629.869,33.001,2.399,0.095,5.804,64.423,110.318,0.15975975975976
630.022,32.212,2.391,0.1,6.157,64.423,109.949,0.164564564564565
630.174,32.689,2.393,0.097,6.18,64.045,109.527,0.163363363363364
630.326,33.32,2.403,0.09,6.165,64.563,110.709,0.157357357357357
630.479,33.59,2.407,0.083,6.165,65.582,112.586,0.154954954954955
630.631,33.86,2.415,0.077,6.154,65.582,112.716,0.15015015015015
630.784,32.415,2.487,0.075,6.02,65.205,111.381,0.106906906906907
630.936,30.504,2.513,0.078,5.685,65.205,110.484,0.0912912912912914
631.088,29.894,2.457,0.087,5.203,65.322,110.397,0.124924924924925
631.241,30.772,2.42,0.096,4.902,65.582,111.248,0.147147147147147
631.393,32.806,2.411,0.099,5.393,66.104,113.103,0.152552552552553
631.546,33.12,2.421,0.1,6.41,67.258,115.232,0.146546546546547
631.698,33.096,2.409,0.101,7.214,68.018,116.522,0.153753753753754
631.85,34.478,2.408,0.102,7.892,67.612,116.512,0.150784077201448
632.003,35.788,2.438,0.102,8.637,66.71,115.607,0.132689987937274
632.155,34.341,2.454,0.098,9.588,66.076,113.798,0.123039806996381
632.308,31.345,2.471,0.088,10.76,65.814,111.912,0.112786489746683
632.46,29.325,2.485,0.08,11.255,65.437,110.329,0.104342581423402
632.612,30.689,2.479,0.078,11.681,65.841,111.649,0.107961399276236
632.765,34.057,2.459,0.079,13.261,66.104,113.709,0.120024125452352
632.917,36.446,2.434,0.082,15.034,65.844,114.43,0.135102533172497
633.07,39.231,2.442,0.083,19.206,65.96,116.027,0.130277442702051
633.222,40.526,2.462,0.084,29.714,65.96,116.688,0.118214716525935
633.374,39.886,2.462,0.083,35.857,65.96,116.361,0.118214716525935
